Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_LargeAddressAware;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MemoryRandomization;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Jitting;1;124000;10;12400
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Workload;Jitting;1;66609400;10;6660940
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Warmup;1;400;10;40
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Warmup;2;300;10;30
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Warmup;3;300;10;30
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Warmup;4;300;10;30
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Warmup;5;300;10;30
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Warmup;6;200;10;20
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Actual;1;300;10;30
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Actual;2;200;10;20
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Actual;3;500;10;50
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Actual;4;600;10;60
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Actual;5;200;10;20
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Actual;6;300;10;30
MassTransitBenchmark.MassTransit;Benchmarking.Benchmarks;MassTransitBenchmark;MassTransit;Job-GJHEED;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"Job-GJHEED(InvocationCount=1, UnrollFactor=1)";MessageSize=1024;1;Overhead;Actual;7;400;10;40
